ID1_CITY,year,source_file,week_count
0101,2017,慢性Bronchitis_filtered.csv,52
0101,2017,氣喘_filtered.csv,52
0102,2016,Pneumonia_filtered.csv,52
0102,2017,Influenza_filtered.csv,52
0102,2017,慢性Bronchitis_filtered.csv,52
0102,2017,氣喘_filtered.csv,52
0102,2018,Pneumonia_filtered.csv,52
0109,2016,Influenza_filtered.csv,52
0109,2017,Influenza_filtered.csv,52
0109,2017,Pneumonia_filtered.csv,52
0109,2017,慢性Bronchitis_filtered.csv,52
0109,2017,氣喘_filtered.csv,52
0110,2017,慢性Bronchitis_filtered.csv,52
0110,2017,氣喘_filtered.csv,52
0111,2017,Influenza_filtered.csv,52
0111,2017,Pneumonia_filtered.csv,52
0111,2017,慢性Bronchitis_filtered.csv,52
0111,2017,氣喘_filtered.csv,52
0112,2016,Influenza_filtered.csv,48
0112,2016,Pneumonia_filtered.csv,52
0112,2016,慢性Bronchitis_filtered.csv,52
0112,2016,氣喘_filtered.csv,52
0112,2017,Influenza_filtered.csv,52
0112,2017,Pneumonia_filtered.csv,52
0112,2017,慢性Bronchitis_filtered.csv,52
0112,2017,氣喘_filtered.csv,52
0112,2018,Influenza_filtered.csv,51
0112,2018,Pneumonia_filtered.csv,52
0112,2018,慢性Bronchitis_filtered.csv,52
0112,2018,氣喘_filtered.csv,52
0115,2016,Influenza_filtered.csv,47
0115,2016,慢性Bronchitis_filtered.csv,52
0115,2017,Allergic rhinitis_filtered.csv,52
0115,2017,Influenza_filtered.csv,50
0115,2017,Pneumonia_filtered.csv,52
0115,2017,慢性Bronchitis_filtered.csv,52
0115,2017,氣喘_filtered.csv,52
0115,2018,Influenza_filtered.csv,50
0115,2018,Pneumonia_filtered.csv,52
0115,2018,慢性Bronchitis_filtered.csv,52
0116,2016,Influenza_filtered.csv,48
0116,2016,慢性Bronchitis_filtered.csv,52
0116,2016,氣喘_filtered.csv,52
0116,2017,Allergic rhinitis_filtered.csv,52
0116,2017,Influenza_filtered.csv,52
0116,2017,Pneumonia_filtered.csv,52
0116,2017,慢性Bronchitis_filtered.csv,52
0116,2017,氣喘_filtered.csv,52
0116,2018,Influenza_filtered.csv,47
0116,2018,Pneumonia_filtered.csv,52
0116,2018,氣喘_filtered.csv,52
0117,2016,Pneumonia_filtered.csv,52
0117,2017,Influenza_filtered.csv,52
0117,2017,Pneumonia_filtered.csv,52
0117,2017,慢性Bronchitis_filtered.csv,52
0117,2017,氣喘_filtered.csv,52
0118,2017,Influenza_filtered.csv,52
0118,2017,慢性Bronchitis_filtered.csv,52
0118,2017,氣喘_filtered.csv,52
0119,2016,Influenza_filtered.csv,52
0119,2016,Pneumonia_filtered.csv,52
0119,2016,慢性Bronchitis_filtered.csv,52
0119,2017,Allergic rhinitis_filtered.csv,52
0119,2017,Influenza_filtered.csv,51
0119,2017,Pneumonia_filtered.csv,52
0119,2017,慢性Bronchitis_filtered.csv,52
0119,2017,氣喘_filtered.csv,52
0119,2018,Influenza_filtered.csv,52
0119,2018,Pneumonia_filtered.csv,52
0120,2016,Influenza_filtered.csv,48
0120,2016,Pneumonia_filtered.csv,52
0120,2016,慢性Bronchitis_filtered.csv,52
0120,2017,Allergic rhinitis_filtered.csv,52
0120,2017,Influenza_filtered.csv,52
0120,2017,Pneumonia_filtered.csv,52
0120,2017,急性Bronchitis_filtered.csv,52
0120,2017,急性Rhinosinusitis_filtered.csv,52
0120,2017,慢性Bronchitis_filtered.csv,52
0120,2017,氣喘_filtered.csv,52
0120,2018,Influenza_filtered.csv,46
0120,2018,慢性Bronchitis_filtered.csv,52
0120,2019,Influenza_filtered.csv,52
0120,2019,慢性Bronchitis_filtered.csv,51
0301,2016,Influenza_filtered.csv,49
0301,2016,氣喘_filtered.csv,52
0301,2017,Allergic rhinitis_filtered.csv,52
0301,2017,Influenza_filtered.csv,51
0301,2017,Pneumonia_filtered.csv,52
0301,2017,急性Bronchitis_filtered.csv,52
0301,2017,慢性Bronchitis_filtered.csv,52
0301,2017,氣喘_filtered.csv,52
0301,2018,Influenza_filtered.csv,52
0301,2018,Pneumonia_filtered.csv,52
0301,2018,慢性Bronchitis_filtered.csv,52
0302,2016,Influenza_filtered.csv,10
0302,2016,Pneumonia_filtered.csv,52
0302,2016,慢性Bronchitis_filtered.csv,48
0302,2016,氣喘_filtered.csv,46
0302,2017,Allergic rhinitis_filtered.csv,52
0302,2017,Influenza_filtered.csv,9
0302,2017,Pneumonia_filtered.csv,52
0302,2017,URI_filtered.csv,52
0302,2017,急性Bronchitis_filtered.csv,52
0302,2017,急性Rhinosinusitis_filtered.csv,52
0302,2017,慢性Bronchitis_filtered.csv,40
